SOURCE,YEAR,FUEL,FUEL_CODE,FUEL_SYM,FUEL_DESC
906,2001,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2001,Other,OTH,,Other
906,2001,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2001,Other,TDF,,Tire-derived Fuels
AER,2001,Coal,COL,,Coal 
AER,2001,Hydro,HYC,,Hydroelectric Conventional
AER,2001,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2001,Gas,OOG,,Other Gases
AER,2001,Biomass,ORW,,Other Renewables and Waste
AER,2001,Coal,WOC,,Waste Coal
AER,2001,Oil,WOO,,Waste Oil
AER,2001,Biomass,WWW,,Wood and Wood Waste
906,2002,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2002,Coal,LIG,,Lignite Coal
906,2002,Coal,SUB,,Sub-bituminous Coal
906,2002,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2002,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2002,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2002,Oil,JF,,Jet Fuel
906,2002,Oil,KER,,Kerosene
906,2002,Coal,PC,,Petroleum Coke
906,2002,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2002,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2002,Gas,NG,,Natural Gas
906,2002,Gas,BFG,,Blast Furnace Gas
906,2002,Gas,OG,,Other Gas
906,2002,Gas,PG,,Gaseous Propane
906,2002,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2002,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2002,Biomass,MSW,,Municipal Solid Waste
906,2002,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2002,Biomass,OBS,,Other Biomass Solids
906,2002,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2002,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2002,Biomass,BLQ,,Black Liquor
906,2002,Biomass,SLW,,Sludge Waste
906,2002,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2002,Biomass,LFG,,Landfill Gas
906,2002,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2002,Geothermal,GEO,,Geothermal
906,2002,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2002,Solar,SUN,,Solar
906,2002,Wind,WND,,Wind
906,2002,Hydro,HPS,,Hydroelectric Pumped Storage
906,2002,Other,PUR,,Purchased Steam
906,2002,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2002,Other,OTH,,Other
906,2002,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2002,Other,TDF,,Tire-derived Fuels
AER,2002,Coal,COL,,Coal 
AER,2002,Hydro,HYC,,Hydroelectric Conventional
AER,2002,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2002,Gas,OOG,,Other Gases
AER,2002,Biomass,ORW,,Other Renewables and Waste
AER,2002,Coal,WOC,,Waste Coal
AER,2002,Oil,WOO,,Waste Oil
AER,2002,Biomass,WWW,,Wood and Wood Waste
906,2003,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2003,Coal,LIG,,Lignite Coal
906,2003,Coal,SUB,,Sub-bituminous Coal
906,2003,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2003,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2003,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2003,Oil,JF,,Jet Fuel
906,2003,Oil,KER,,Kerosene
906,2003,Coal,PC,,Petroleum Coke
906,2003,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2003,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2003,Gas,NG,,Natural Gas
906,2003,Gas,BFG,,Blast Furnace Gas
906,2003,Gas,OG,,Other Gas
906,2003,Gas,PG,,Gaseous Propane
906,2003,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2003,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2003,Biomass,MSW,,Municipal Solid Waste
906,2003,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2003,Biomass,OBS,,Other Biomass Solids
906,2003,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2003,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2003,Biomass,BLQ,,Black Liquor
906,2003,Biomass,SLW,,Sludge Waste
906,2003,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2003,Biomass,LFG,,Landfill Gas
906,2003,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2003,Geothermal,GEO,,Geothermal
906,2003,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2003,Solar,SUN,,Solar
906,2003,Wind,WND,,Wind
906,2003,Hydro,HPS,,Hydroelectric Pumped Storage
906,2003,Other,PUR,,Purchased Steam
906,2003,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2003,Other,OTH,,Other
906,2003,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2003,Other,TDF,,Tire-derived Fuels
AER,2003,Coal,COL,,Coal 
AER,2003,Hydro,HYC,,Hydroelectric Conventional
AER,2003,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2003,Gas,OOG,,Other Gases
AER,2003,Biomass,ORW,,Other Renewables and Waste
AER,2003,Coal,WOC,,Waste Coal
AER,2003,Oil,WOO,,Waste Oil
AER,2003,Biomass,WWW,,Wood and Wood Waste
906,2004,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2004,Coal,LIG,,Lignite Coal
906,2004,Coal,SUB,,Sub-bituminous Coal
906,2004,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2004,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2004,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2004,Oil,JF,,Jet Fuel
906,2004,Oil,KER,,Kerosene
906,2004,Coal,PC,,Petroleum Coke
906,2004,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2004,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2004,Gas,NG,,Natural Gas
906,2004,Gas,BFG,,Blast Furnace Gas
906,2004,Gas,OG,,Other Gas
906,2004,Gas,PG,,Gaseous Propane
906,2004,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2004,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2004,Biomass,MSW,,Municipal Solid Waste
906,2004,Biomass,OBS,,Other Biomass Solids
906,2004,Other,TDF,,Tire-derived Fuels
906,2004,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2004,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2004,Biomass,BLQ,,Black Liquor
906,2004,Biomass,SLW,,Sludge Waste
906,2004,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2004,Biomass,LFG,,Landfill Gas
906,2004,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2004,Geothermal,GEO,,Geothermal
906,2004,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2004,Solar,SUN,,Solar
906,2004,Wind,WND,,Wind
906,2004,Other,PUR,,Purchased Steam
906,2004,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2004,Other,OTH,,Other
AER,2004,Coal,COL,,Coal 
AER,2004,Hydro,HPS,,Pumped Storage Hydroelectric
AER,2004,Hydro,HYC,,Hydroelectric Conventional
AER,2004,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2004,Gas,OOG,,Other Gases
AER,2004,Biomass,ORW,,Other Renewables and Waste
AER,2004,Coal,WOC,,Waste Coal
AER,2004,Oil,WOO,,Waste Oil
AER,2004,Biomass,WWW,,Wood and Wood Waste
906,2005,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2005,Coal,LIG,,Lignite Coal
906,2005,Coal,SUB,,Sub-bituminous Coal
906,2005,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2005,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2005,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2005,Oil,JF,,Jet Fuel
906,2005,Oil,KER,,Kerosene
906,2005,Coal,PC,,Petroleum Coke
906,2005,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2005,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2005,Gas,NG,,Natural Gas
906,2005,Gas,BFG,,Blast Furnace Gas
906,2005,Gas,OG,,Other Gas
906,2005,Gas,PG,,Gaseous Propane
906,2005,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2005,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2005,Biomass,MSW,,Municipal Solid Waste
906,2005,Biomass,OBS,,Other Biomass Solids
906,2005,Other,TDF,,Tire-derived Fuels
906,2005,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2005,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2005,Biomass,BLQ,,Black Liquor
906,2005,Biomass,SLW,,Sludge Waste
906,2005,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2005,Biomass,LFG,,Landfill Gas
906,2005,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2005,Geothermal,GEO,,Geothermal
906,2005,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2005,Solar,SUN,,Solar
906,2005,Wind,WND,,Wind
906,2005,Other,PUR,,Purchased Steam
906,2005,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2005,Other,OTH,,Other
AER,2005,Coal,COL,,Coal 
AER,2005,Hydro,HPS,,Pumped Storage Hydroelectric
AER,2005,Hydro,HYC,,Hydroelectric Conventional
AER,2005,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2005,Gas,OOG,,Other Gases
AER,2005,Biomass,ORW,,Other Renewables and Waste
AER,2005,Coal,WOC,,Waste Coal
AER,2005,Oil,WOO,,Waste Oil
AER,2005,Biomass,WWW,,Wood and Wood Waste
906,2006,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2006,Coal,LIG,,Lignite Coal
906,2006,Coal,SUB,,Sub-bituminous Coal
906,2006,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2006,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2006,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2006,Oil,JF,,Jet Fuel
906,2006,Oil,KER,,Kerosene
906,2006,Coal,PC,,Petroleum Coke
906,2006,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2006,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2006,Gas,NG,,Natural Gas
906,2006,Gas,BFG,,Blast Furnace Gas
906,2006,Gas,OG,,Other Gas
906,2006,Gas,PG,,Gaseous Propane
906,2006,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2006,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2006,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2006,Biomass,OBS,,Other Biomass Solids
906,2006,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2006,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2006,Biomass,BLQ,,Black Liquor
906,2006,Biomass,SLW,,Sludge Waste
906,2006,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2006,Biomass,LFG,,Landfill Gas
906,2006,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2006,Geothermal,GEO,,Geothermal
906,2006,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2006,Solar,SUN,,Solar
906,2006,Wind,WND,,Wind
906,2006,Hydro,HPS,,Hydroelectric Pumped Storage
906,2006,Other,PUR,,Purchased Steam
906,2006,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2006,Other,OTH,,Other
906,2006,Other,MSN,,Municipal Solid Waste – Non-biogenic components
906,2006,Other,TDF,,Tire-derived Fuels
AER,2006,Coal,COL,,Coal 
AER,2006,Hydro,HYC,,Hydroelectric Conventional
AER,2006,Biomass,MLG,,Municipal Solid Waste (biogenic) and Landfill Gas
AER,2006,Gas,OOG,,Other Gases
AER,2006,Biomass,ORW,,Other Renewables
AER,2006,Coal,WOC,,Waste Coal
AER,2006,Oil,WOO,,Waste Oil
AER,2006,Biomass,WWW,,Wood and Wood Waste
906,2007,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2007,Coal,LIG,,Lignite Coal
906,2007,Coal,SUB,,Sub-bituminous Coal
906,2007,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2007,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2007,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2007,Oil,JF,,Jet Fuel
906,2007,Oil,KER,,Kerosene
906,2007,Coal,PC,,Petroleum Coke
906,2007,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2007,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2007,Gas,NG,,Natural Gas
906,2007,Gas,BFG,,Blast Furnace Gas
906,2007,Gas,OG,,Other Gas
906,2007,Gas,PG,,Gaseous Propane
906,2007,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2007,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2007,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2007,Biomass,OBS,,Other Biomass Solids
906,2007,Other,TDF,,Tire-derived Fuels
906,2007,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2007,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2007,Biomass,BLQ,,Black Liquor
906,2007,Biomass,SLW,,Sludge Waste
906,2007,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2007,Biomass,LFG,,Landfill Gas
906,2007,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2007,Geothermal,GEO,,Geothermal
906,2007,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2007,Solar,SUN,,Solar
906,2007,Wind,WND,,Wind
906,2007,Other,PUR,,Purchased Steam
906,2007,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2007,Other,OTH,,Other
906,2007,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
AER,2007,Coal,COL,,Coal 
AER,2007,Hydro,HPS,,Hydroelectric Pumped Storage
AER,2007,Hydro,HYC,,Hydroelectric Conventional
AER,2007,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2007,Gas,OOG,,Other Gases
AER,2007,Biomass,ORW,,Other Renewables and Waste
AER,2007,Wind,WND,,Wind
AER,2007,Coal,WOC,,Waste Coal
AER,2007,Oil,WOO,,Waste Oil
AER,2007,Biomass,WWW,,Wood and Wood Waste
923,2008,Coal,BIT,,Anthracite Coal and Bituminous Coal
923,2008,Coal,LIG,,Lignite Coal
923,2008,Coal,SC,,"Coal-based Synfuel (including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials)"
923,2008,Coal,SUB,,Subbituminous Coal
923,2008,Coal,WC,,"Waste/Other Coal (including anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
923,2008,Oil,DFO,,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils."
923,2008,Oil,JF,,Jet Fuel
923,2008,Oil,KER,,Kerosene
923,2008,Coal,PC,,Petroleum Coke
923,2008,Oil,RFO,,"Residual Fuel Oil (including No. 5 and No. 6 fuel oils, and bunker C fuel oil."
923,2008,Oil,WO,,"Waste/Other Oil (including crude oil, liquid butane, liquid propane, oil waste, re-refined motor oil, sludge oil, tar oil, or other petroleum-based liquid wastes)"
923,2008,Gas,BFG,,Blast Furnace Gas
923,2008,Gas,OG,,Other Gas (specify in Comment Section of SCHEDULE 9)
923,2008,Gas,NG,,Natural Gas
923,2008,Gas,PG,,Gaseous Propane
923,2008,Gas,SG,,Synthetic Gas
923,2008,Gas,SGC,,Coal-Derived Synthetic Gas
923,2008,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
923,2008,Biomass,MSB,,Biogenic Municipal Solid Waste
923,2008,Biomass,MSN,,Nonbiogenic Municipal Solid Waste
923,2008,Biomass,OBS,,Other Biomass Solids (specify
923,2008,Biomass,WDS,,"Wood/Wood Waste Solids (including paper pellets, railroad ties, utility poles, wood chips, bark, and wood waste solids)"
923,2008,Biomass,OBL,,Other Biomass Liquids (specify in Comment Section of SCHEDULE 9)
923,2008,Biomass,SLW,,Sludge Waste
923,2008,Biomass,BLQ,,Black Liquor
923,2008,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
923,2008,Biomass,LFG,,Landfill Gas
923,2008,Biomass,OBG,,"Other Biomass Gas (includes digester gas, methane, and other biomass gasses)"
923,2008,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
923,2008,Geothermal,GEO,,Geothermal
923,2008,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
923,2008,Solar,SUN,,Solar
923,2008,Wind,WND,,Wind
923,2008,Other,PUR,,Purchased Steam
923,2008,Other,TDF,,Tire-derived Fuels
923,2008,Other,WH,,Waste Heat not directly attributed to a fuel source
923,2008,Other,OTH,,Other
923,2009,Coal,BIT,,Anthracite Coal and Bituminous Coal
923,2009,Coal,LIG,,Lignite Coal
923,2009,Coal,SUB,,Sub-bituminous Coal
923,2009,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
923,2009,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
923,2009,Oil,JF,,Jet Fuel
923,2009,Oil,KER,,Kerosene
923,2009,Coal,PC,,Petroleum Coke
923,2009,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
